feature_id,area,feature_name,user_story,expected_behaviour,how_to_test,spec_ref,code_ref,status,error_notes,fix_ref,retest_status
cli-agent-case-insensitive,cli,-a/--agent values are lowercased before validation,"As a user, I want `-a PI` or `-a Codex` to work the same as lowercase so that casing mistakes don't cause failures.",`effective_options` maps each `OsString` agent via `.to_string_lossy().to_ascii_lowercase()` before validation (src/app.rs (.to_string_lossy().to_ascii_lowercase())).,Run `resume -a PI --list` and confirm it behaves identically to `resume -a pi --list`.,§7 Query options,src/app.rs:167 (effective_options),Pass,,,Pass
cli-list-flag,cli,--list mode: stable text listing,"As a user, I want `--list` so that discovery completes fully and I get one deterministic terminal-safe text row per session, suitable for scripting or piping.","When `cli.list` is true, `run` calls `discover_all` (blocking until every integration thread joins), prints diagnostics to stderr, then `print_list` prints one `picker_candidate(...).display` line per session in `print_list` (src/app.rs, src/app.rs (print_list)); sessions are pre-sorted deterministically by `compare_sessions` inside `discover_all` (src/app.rs).","Run `resume --list` in a directory with known sessions and confirm stable, deterministically ordered rows are printed to stdout with no interactive UI.",§7 List mode,src/app.rs:1205 (print_list); src/app.rs:229 (discover_all),Pass,,,Pass
cli-json-flag,cli,--json mode: machine-readable v1 output,"As a user, I want `--json` so that I get one machine-parseable JSON document on stdout describing sessions and errors, safe to pipe into `jq`.","When `cli.json` is true, `run` calls `discover_all` then `print_json`, which serializes a `JsonOutput { schemaVersion: 1, sessions, errors }` via `serde_json::to_string` and prints exactly one line to stdout (src/app.rs, src/app.rs (print_json)).",Run `resume --json 2>/dev/null | jq.` and confirm exactly one valid JSON document with schemaVersion 1 is printed.,§7 List mode,src/app.rs:1186 (print_json); src/app.rs:229 (discover_all),Pass,,,Pass
cli-list-json-both-run-discovery,cli,--list and --json share the same discover_all path and exit-code logic,"As a user, I want `--list` and `--json` to apply identical Scope/agent filtering and identical exit-code rules so that only the output format differs.","Both branches call `discover_all(&options, scope)` then `discovery_exit(&records, &state)` (src/app.rs); only the printer (`print_list` vs `print_json`) differs.","Run `resume --list --agent pi` and `resume --json --agent pi` in the same directory and confirm the same session set (by id) appears in both, only formatted differently.",§7 List mode,src/app.rs:1205 (print_list); src/app.rs:1186 (print_json),Pass,,,Pass
cli-verbose-flag,cli,--verbose enables verbose diagnostics,"As a user, I want `--verbose` so that stderr diagnostics include a redacted source path and error chain, not just a category and count.","`Cli.verbose: bool` (src/cli.rs) is ORed with `config.verbose` in `effective_options` (src/app.rs (effective_options verbose field)) and threaded to `print_diagnostics(&state, options.verbose)`; `render_diagnostic` appends `redact_path(path)` and `redact_text(chain)` only when `verbose` is true (src/app.rs (print_diagnostics) / 933-951 (render_diagnostic)).","Create a fixture with an intentionally malformed session file, run `resume --list` (no diagnostic path shown) then `resume --verbose --list` (diagnostic path/chain shown), and diff stderr output.",§7 Diagnostics,src/app.rs:167 (effective_options); src/app.rs:1288 (render_diagnostic),Pass,,,Pass
cli-config-flag,cli,--config <PATH> explicit config file path,"As a user, I want `--config /path/to/config.toml` so that I can point resume at a specific configuration file, bypassing XDG/home discovery.","`Cli.config: Option<PathBuf>` (src/cli.rs) is passed to `crate::config::load(cli.config.clone())`; `discover_path` returns the explicit path immediately if `Some`, without checking existence (src/config.rs (discover_path)), tested by `explicit_then_xdg_then_home_precedence` (src/config.rs (explicit_then_xdg_then_home_precedence)).","Write a config.toml at a nonstandard path and run `resume --config /that/path/config.toml config example`-style check, or run `resume --config /that/path/config.toml --list` and confirm its `agents` field is honored.",§7 Query options,src/config.rs:67 (discover_path); src/config.rs:112 (explicit_then_xdg_then_home_precedence),Pass,,,Pass
cli-confirm-always-flag,cli,--confirm-always requests confirmation for every Resume,"As a user, I want `--confirm-always` so that I am prompted to confirm before resuming any session, even a normal-risk one.","`Cli.confirm_always: bool` (src/cli.rs) is ORed with `config.confirm_always` in `effective_options` (src/app.rs); `launch::should_confirm` returns true whenever `confirm_always && !no_confirm`, and `launch::risk_reasons` adds a synthetic ""confirmation requested"" reason when otherwise risk-free (src/launch.rs (risk_reasons/should_confirm), src/launch.rs (risk_reasons)).",Select a normal-risk session via the picker with `resume --confirm-always` and confirm the 'Continue? [y/N]' prompt appears even though the session has no risk flags.,§6 Confirmation,src/launch.rs:143 (risk_reasons); src/launch.rs:161 (should_confirm); src/app.rs:167 (effective_options),Pass,,,Pass
cli-no-confirm-flag,cli,--no-confirm suppresses ordinary confirmation only,"As a user, I want `--no-confirm` so that I skip the ordinary confirmation prompt, but I still want to be warned before resuming a genuinely risky session.","`should_confirm` computes `risky || (confirm_always && !no_confirm)` (src/launch.rs (should_confirm)): `no_confirm` only cancels the `confirm_always` branch, never the `risky` branch, so risk prompts (Active/BroadWorkspace/WorkspaceChanged/ConflictingMetadata) always still fire, tested by `no_confirm_never_bypasses_risk` (src/launch.rs (no_confirm_never_bypasses_risk)).",Select a session flagged BroadWorkspace (workspace == $HOME or /) via `resume --no-confirm` and confirm the risk confirmation prompt still appears despite --no-confirm.,§6 Confirmation,src/launch.rs:161 (should_confirm); src/launch.rs:1092 (no_confirm_never_bypasses_risk),Pass,,,Pass
cli-confirm-conflict,cli,--confirm-always and --no-confirm are mutually exclusive,"As a user, I want the CLI to reject combining `--confirm-always` and `--no-confirm` since they express contradictory intents.","`#[arg(long, conflicts_with = ""no_confirm"")]` on `confirm_always` and the reciprocal on `no_confirm` (src/cli.rs (confirm_always conflicts_with, no_confirm)) make clap reject the combination with exit code 2, tested by `confirmation_conflict_is_usage_error` (src/cli.rs,118-122... actually src/cli.rs 'confirmation_conflict_is_usage_error' test).",Run `resume --confirm-always --no-confirm` and confirm exit code 2 with a clap usage error.,§6 Exit status,src/cli.rs:535 (confirmation_conflict_is_usage_error),Pass,,,Pass
cli-since-duration,cli,--since <duration> filters Sessions by recent activity (relative),"As a user with many old sessions, I want `--since 7d` to show only Sessions active in the last 7 days, so that I don't have to scroll past stale entries.","`Since::from_str` parses `<N><unit>` where unit is m/h/d/w (src/cli.rs, delegating to `crate::time::parse_relative_duration`); `effective_options` resolves it to a cutoff `SystemTime` via `Since::cutoff(now)` (src/app.rs session_at_or_after); `discover_agent` retains only records whose transcript file mtime is at or after the cutoff via `session_at_or_after` (src/app.rs session_at_or_after), applied identically in both `--list`/`--json` and the interactive picker code paths.","Create fixture transcripts for two+ agents, backdate one set of files' mtimes by 1 hour via `File::set_times`, run `resume --json --since 10m` and confirm only recently-modified sessions appear; covered by `since_duration_filters_out_stale_transcripts_across_all_four_agents` in tests/step9_app.rs.",§7 List mode,src/app.rs:568 (session_at_or_after); src/cli.rs:57 (cutoff); src/app.rs:167 (effective_options),Pass,,,Pass
cli-config-subcommand-example,cli,config example subcommand prints a complete example TOML,"As a user, I want `resume config example` so that I can see every documented config field and its default in valid TOML, ready to copy into my config file.","`Command::Config(ConfigArgs { command: ConfigCommand::Example })` is matched in main.rs before `app::run` is ever called; `resume::cli::config_example()` returns a static string literal listing `agents`, `confirm_always`, `preview`, `preview_position`, `verbose` (src/cli.rs, src/main.rs (Command::Config dispatch)).",Run `resume config example` and confirm the printed TOML matches the fields documented in README.md's Configuration section and parses successfully via `resume --config <(that output)`.,§6 Confirmation,src/main.rs:7 (main); src/cli.rs:102 (Command); src/cli.rs:409 (command),Pass,,"src/cli.rs (config_example): added ""opencode"" to the example agents list",Pass
cli-completions-bash,cli,completions bash subcommand,"As a user, I want `resume completions bash` so that I can install shell completion for bash.","`Command::Completions { shell: Shell::Bash }` calls `clap_complete::generate(shells::Bash,...)` to stdout before `app::run` executes, so it never loads config or discovers sessions (src/main.rs (Completions match, Bash), docs/completions.md).",Run `resume completions bash` and confirm a valid bash completion script is printed to stdout with no config/discovery side effects (verify no XDG/HOME env access needed by running with HOME unset).,§7 Completions,src/main.rs:7 (main),Pass,,,Pass
cli-completions-zsh,cli,completions zsh subcommand,"As a user, I want `resume completions zsh` so that I can install shell completion for zsh.","`Shell::Zsh` branch calls `generate(shells::Zsh,...)` (src/main.rs (Zsh generate)); same pre-`app::run` dispatch guarantee as bash.",Run `resume completions zsh` and confirm a valid zsh `_resume` completion function is printed.,§7 Completions,src/main.rs:7 (main),Pass,,,Pass
cli-completions-fish,cli,completions fish subcommand,"As a user, I want `resume completions fish` so that I can install shell completion for fish.","`Shell::Fish` branch calls `generate(shells::Fish,...)` (src/main.rs (Fish generate)); subcommand parsing itself tested by `subcommands_parse` (src/cli.rs (subcommands_parse)).",Run `resume completions fish` and confirm a valid fish completion script is printed.,§7 Completions,src/cli.rs:627 (subcommands_parse); src/main.rs:7 (main); src/cli.rs:84 (Shell),Pass,,,Pass
cli-completions-precede-startup,cli,Completions/config subcommands dispatch before app startup,"As a user, I want `resume completions bash` and `resume config example` to work even with no HOME, no config file, and no session data present, so that packaging/CI can generate completions safely.","`main()` matches `cli.command` for `Config`/`Completions` and returns before ever calling `resume::app::run(cli)` (src/main.rs (app::run only reached in the None arm)); docs/completions.md explicitly states these subcommands 'do not load a config file, derive Scope, or discover/scan Sessions'.","Run `env -i resume completions bash` (fully cleared environment) and confirm it still succeeds and prints a script, with no error about missing HOME or config.",§7 Completions,src/main.rs:7 (main),Pass,,,Pass
scope-default-git,scope,Default Scope inside a Git repository includes all worktrees,"As a user working inside a Git repo, I want the default Scope (no --up/--down) to include every Workspace in the main repo and all linked worktrees at any depth, so that I see sessions from any of my worktrees.","`build_scope` calls `discover_git_scope(&base, cli.all_worktrees)`; on success it builds `DefaultScope::Git { common_dir, worktrees }`, and `Scope::contains` in `ScopeMode::Git` accepts any candidate whose real path starts with one of `worktrees`, rejecting a candidate whose own Git common directory differs -- which is how a nested independent repository stays out even though it sits inside the tree.","Inside a repo with a linked worktree via `git worktree add`, run `resume --list` from either worktree and confirm sessions recorded under both worktrees appear, while a nested unrelated git repo's sessions are excluded.",§4 Default Scope,src/app.rs:206 (build_scope); src/scope.rs:581 (git_scope_includes_main_linked_and_deep_but_excludes_nested_repo); src/scope.rs:482 (candidate),Pass,,,Pass
scope-default-nongit,scope,Default Scope outside Git is the exact current directory only,"As a user working outside any Git repository, I want the default Scope to be just my current real directory, not its children, so that I don't see unrelated sessions.","When `discover_git_scope` fails (not a repo), `build_scope` sets `DefaultScope::Exact { git_warning: Some(error) }`, giving `ScopeMode::Exact`, whose `contains` requires `candidate.real_path == self.base` exactly (src/app.rs (DefaultScope::Exact fallback), src/scope.rs (ScopeMode::Exact)), tested by `non_git_fallback_is_exact_and_missing_workspace_is_matched_by_last_known_path` (src/scope.rs) — corrected test name; the CSV previously cited a nonexistent test name.","Run `resume --list` from a plain (non-git) directory containing a session subdirectory and confirm only sessions whose recorded Workspace is exactly that directory appear, not a session in a subdirectory.",§4 Default Scope,src/scope.rs:402 (discover_git_scope); src/app.rs:206 (build_scope); src/scope.rs:89 (contains),Pass,,,Pass
scope-git-failure-diagnostic,scope,"Git Scope discovery failure is reported, falls back to exact Scope","As a user, I want a Git failure (e.g. corrupted repo, git binary missing) to degrade gracefully to exact-directory Scope rather than crashing resume.","RESOLVED (was flagged as a doc/behavior gap; now fixed and test-backed). `discover_git_scope` errors become `DefaultScope::Exact { git_warning: Some(error.to_string()) }` (src/app.rs, build_scope). That warning IS surfaced as a `Diagnostic` of category `git_scope_discovery_failed` via `scope_warning_diagnostic` (src/app.rs), injected into `DiscoveryState.errors` in BOTH `discover_all` (src/app.rs) and `run_interactive` (src/app.rs), and printed to stderr by `print_diagnostics`/`aggregate_diagnostics` (src/app.rs,892). The category maps to E3002 GIT_SCOPE_DISCOVERY_FAILED in the unified error catalog (src/errors.rs) and is documented at src/man.rs,517. README.md:50 ('A Git failure is reported as a diagnostic.') is now accurate.","Simulate `git` being unavailable (e.g. temporarily rename it off PATH) inside a git repo, run `resume --list`, and confirm resume falls back to exact-directory Scope while stderr shows `resume: git_scope_discovery_failed: 1` (and, with --verbose, the underlying error text). Unit-covered by `git_scope_failure_becomes_a_visible_diagnostic` (src/app.rs), which asserts category, count, non-verbose rendering, and verbose rendering.",§7 Diagnostics,src/app.rs:885 (scope_warning_diagnostic); src/app.rs:229 (discover_all); src/errors.rs:63 (category),Pass,,"src/scope.rs (git_spawn_failed) + (git_command_failed): the verbose chain was a bare OS string (""No such file or directory"" when git is not on PATH), which reads as a missing session file. It now names the git subcommand, the directory, and git's own stderr; regression test src/scope.rs (git_scope_failure_names_the_command_and_the_directory)",Pass
scope-directory-distance-zero,scope,Directory Distance 0 means exactly the current directory,"As a user, I want `--up 0` or `--down 0` to mean exactly the current real directory, matching neither parent nor child.","`within(&Distance::Finite(0), edges)` is true only when `edges <= 0`, i.e. `edges == 0`; verified by the table-driven cases `up zero self`/`up zero parent`/`down zero self`/`down zero child` (src/scope.rs (fn within)).","Run `resume --up 0 --list` and `resume --down 0 --list` from a directory with a session recorded exactly there and confirm both include it, while a parent-recorded or child-recorded session is excluded.",§4 Workspace and Git Scope,src/scope.rs:242 (within),Pass,,,Pass
scope-canonicalizes-symlinks,scope,Scope base and Workspace candidates are canonicalized (symlinks resolved),"As a user, I want resume to compare real (symlink-resolved) paths so that a symlinked path to my project matches sessions recorded under the real path.","`canonical_base` calls `path.canonicalize()` (src/scope.rs (canonical_base)), and `canonical_workspace` does the same for candidate workspaces (src/scope.rs (canonical_workspace)), tested by `canonicalization_resolves_symlinks_and_rejects_missing` (src/scope.rs (canonicalization_resolves_symlinks_and_rejects_missing)).","Create a symlink to a workspace directory, cd through the symlink, and run `resume --list`; confirm sessions recorded under the real (non-symlink) path are still matched.",§4 Workspace and Git Scope,src/scope.rs:294 (canonical_base); src/scope.rs:306 (canonical_workspace),Pass,,,Pass
scope-missing-base-usage-error,scope,A missing/nonexistent base directory is a usage error,"As a user, I want a clear error if I pass a directory that does not exist so that I don't get a confusing crash.",`canonical_base` returns `Err` when `path.canonicalize()` fails on a missing directory; `build_scope`'s caller in `run` prints `resume: <error>` and returns `EXIT_USAGE` (2) (src/app.rs (run build_scope error arm) + src/app.rs (canonical_base call) + src/scope.rs (canonical_base impl)).,Run `resume /this/path/does/not/exist` and confirm exit code 2 with a clear error message.,§4 Workspace and Git Scope,src/scope.rs:294 (canonical_base); src/app.rs:206 (build_scope); src/app.rs:33 (EXIT_USAGE),Pass,,,Pass
scope-unavailable-workspace,scope,"A Session whose recorded Workspace no longer exists is diagnosed as Unavailable, not resumable","As a user, I want sessions whose recorded directory was deleted or moved to still be listed for diagnosis, but marked Unavailable so I can't accidentally resume into a broken path.","`normalize_availability` sets `session.support = SupportStatus::Unavailable` whenever `session.workspace.workspace().is_none_or(|p| !p.is_dir())` (src/app.rs (normalize_availability)), applied after every integration's discovery (src/app.rs,490,537,606 (per-agent call sites)); `status_label` renders it as `UNAVAILABLE` (src/app.rs (status_label, UNAVAILABLE arm)).","Discover a session, then delete its recorded workspace directory, re-run `resume --list`, and confirm the session still appears with status UNAVAILABLE and cannot be selected for resume.",§2 Support states,src/app.rs:874 (normalize_availability),Pass,,,Pass
config-precedence-explicit,config,--config explicit path has highest precedence,"As a user, I want an explicit `--config <PATH>` to always win over XDG/home discovery, even if the path doesn't exist yet.","`discover_path` returns `explicit` immediately whenever `Some`, before checking XDG or home (src/config.rs (discover_path explicit return)), tested by `explicit_then_xdg_then_home_precedence` (src/config.rs (explicit_then_xdg_then_home_precedence)); if the explicit file doesn't exist, `load_path` will fail with `ConfigError::Read` when actually loading (src/config.rs (load_path)).","Set XDG_CONFIG_HOME and HOME to point at valid config files with different `agents` lists, then run `resume --config /third/path/config.toml --list` and confirm the third file's settings apply (or a read error if it doesn't exist).",§7 Configuration,src/config.rs:67 (discover_path); src/config.rs:112 (explicit_then_xdg_then_home_precedence),Pass,,,Pass
config-precedence-xdg,config,$XDG_CONFIG_HOME/resume/config.toml precedence over home,"As a user, I want my XDG_CONFIG_HOME config to be used when present, ahead of the ~/.config fallback.","`discover_path` checks `xdg.join(""resume/config.toml"")` via the injected `exists` predicate and returns it if present, before falling back to `home.join("".config/resume/config.toml"")` (src/config.rs (discover_path xdg check)), tested by `explicit_then_xdg_then_home_precedence` (src/config.rs (explicit_then_xdg_then_home_precedence)).","Create both `$XDG_CONFIG_HOME/resume/config.toml` and `~/.config/resume/config.toml` with different `agents` lists, run `resume --list` with no `--config`, and confirm the XDG file's settings apply.",§7 Configuration,src/config.rs:67 (discover_path); src/config.rs:112 (explicit_then_xdg_then_home_precedence),Pass,,,Pass
config-precedence-home,config,~/.config/resume/config.toml is used only when XDG config is absent,"As a user without XDG_CONFIG_HOME configured (or without a resume config under it), I want resume to fall back to ~/.config/resume/config.toml.","`discover_path` only returns the home path when the XDG path (if any) does not exist per the `exists` predicate (src/config.rs (discover_path home fallback)), tested by `explicit_then_xdg_then_home_precedence` (src/config.rs (explicit_then_xdg_then_home_precedence)).","Unset XDG_CONFIG_HOME (or ensure no resume config exists under it), create only `~/.config/resume/config.toml`, and confirm `resume --list` applies its settings.",§7 Configuration,src/config.rs:67 (discover_path); src/config.rs:112 (explicit_then_xdg_then_home_precedence),Pass,,,Pass
config-no-merge,config,Exactly one config file is loaded; files are never merged,"As a user, I want resume to load a single config file deterministically rather than silently merging multiple sources, so config behavior is predictable.",`discover_path` returns the first matching path by precedence and `load` loads only that one file via `load_path` (src/config.rs (discover_path returns first match)); README.md's Configuration section states 'Exactly one file is loaded; files are not merged.',"Create differing config.toml files at explicit/XDG/home locations and confirm only the highest-precedence one's fields take effect, with no merged fields from the others.",§7 Configuration,src/config.rs:67 (discover_path); src/config.rs:86 (load),Pass,,,Pass
config-unknown-field-rejected,config,Unknown TOML fields are rejected,"As a user, I want a typo'd config field (e.g. from an old or unsupported option) to fail loudly rather than being silently ignored.","`Config` derives `#[serde(deny_unknown_fields)]` (src/config.rs (#[serde(deny_unknown_fields)])), so any field not in {agents, confirm_always, preview, preview_position, verbose} causes `toml::from_str` to fail, surfaced as `ConfigError::Parse`, tested by `unknown_and_invalid_fields_are_rejected` for `mystery = true` (src/config.rs (unknown_and_invalid_fields_are_rejected) + (parse_error_message_includes_line_and_field_detail)).","Write a config.toml containing `mystery = true`, run `resume --config <that file> --list`, and confirm it fails with a usage error rather than silently ignoring the field.",§6 Confirmation,src/config.rs:136 (unknown_and_invalid_fields_are_rejected); src/config.rs:37 (Config),Pass,,,Pass
config-invalid-value-rejected,config,Invalid enum/type values in config are rejected,"As a user, I want an invalid `preview_position` or `preview` value to fail clearly instead of silently falling back to a default.","`PreviewMode`/`PreviewPosition` derive `Deserialize` with `#[serde(rename_all = ""lowercase"")]` and only accept `hidden`/`visible` or `auto`/`right`/`bottom` respectively (src/config.rs (PreviewMode), (PreviewPosition)); an invalid value like `preview_position = 'left'` fails `toml::from_str`, tested by `unknown_and_invalid_fields_are_rejected` (src/config.rs (unknown_and_invalid_fields_are_rejected)).","Write a config.toml with `preview_position = 'left'`, run `resume --config <that file> --list`, and confirm it fails with a parse/usage error.",§5 Preview,src/config.rs:136 (unknown_and_invalid_fields_are_rejected); src/config.rs:22 (PreviewMode),Pass,,,Pass
config-since-field,config,Config-level 'since' field accepts the same duration|date|all syntax as --since,"As a user, I want to set a default `since` cutoff in config.toml so I don't have to pass --since on every invocation, and have --since on the CLI override it when I do.","`Config.since: Option<Since>` deserializes via `deserialize_since`, reusing `Since::from_str` so config and CLI accept identical syntax and reject the same malformed inputs (src/config.rs); `effective_options` prefers `cli.since` over `config.since` when both are present (src/app.rs), mirroring the -a/--agent override pattern.","Write a config.toml with `since = '7d'`, run `resume --config <path> --list` with no --since flag and confirm the 7-day cutoff applies; run again with `--since all` on the CLI and confirm it overrides the config value; covered by `documented_field_set_loads`/`since_all_and_date_load_from_config` in src/config.rs.",§7 Configuration,src/config.rs:10 (deserialize_since); src/app.rs:167 (effective_options); src/config.rs:37 (Config),Pass,,,Pass
config-documented-fields-load,config,The full documented field set loads and applies correctly,"As a user, I want every field shown in `resume config example` (agents, confirm_always, verbose, preview, preview_position) to actually parse and take effect together.","`documented_field_set_loads` test writes all five fields and asserts each parses into the expected `Config` value (src/config.rs (documented_field_set_loads)); this exact field set matches `cli::config_example()` (src/cli.rs (config_example, now six fields incl. since)).","Write a config.toml with all five fields set to non-default values, run `resume --config <that file> --list` (or introspect via effective_options-adjacent behavior), and confirm each field's effect (agent list, confirm prompts, verbose diagnostics).",§7 Configuration,src/config.rs:165 (documented_field_set_loads); src/cli.rs:413 (config_example); src/config.rs:37 (Config),Pass,,,Pass
config-agents-default,config,Default agent list when neither -a nor config.agents is set,"As a user with no config and no -a flags, I want resume to discover sessions from all four supported agents by default.","`effective_options` falls back to `vec![""codex"", ""claude"", ""pi"", ""omp""]` when `cli.agent` is empty and `config.agents` is `None` (src/app.rs (within effective_options)).","With no config file and no -a flags, run `resume --list` and confirm sessions from pi, claude, codex, and omp fixtures all appear (as in tests/step9_app.rs `json_discovers_all_four_and_stdout_is_only_schema`).",§7 Configuration,src/app.rs:167 (effective_options); tests/step9_app.rs:134 (fixtures); tests/step9_app.rs:336 (json_discovers_all_four_and_stdout_is_only_schema),Pass,,,Pass
